THRESHOLD,SEN_AVG,SEN_STD,SEN_ERR,SEN_CI95_HI,SEN_CI95_LO,FP_AVG,FP_STD,FP_ERR,FP_CI95_HI,FP_CI95_LO
0.8875,0.07293666026871401,0.2404054796932,0.012887086411138633,0.09819534963454574,0.04767797090288229,0.06896551724137931,0.2648735633678858,0.014198713371693166,0.09679499544989792,0.041136039032860706
0.89,0.0710172744721689,0.24003264202907507,0.012867100214480233,0.09623679089255016,0.04579775805178765,0.06609195402298851,0.2601256903986853,0.013944200665488297,0.09342258732734557,0.03876132071863145
0.8925,0.0671785028790787,0.23889350476166346,0.01280603604731559,0.09227833353181726,0.04207867222634014,0.06609195402298851,0.2601256903986853,0.013944200665488297,0.09342258732734557,0.03876132071863145
0.895,0.06333973128598848,0.22939343667945872,0.012296778943678383,0.08744141801559811,0.039238044556378845,0.06609195402298851,0.2601256903986853,0.013944200665488297,0.09342258732734557,0.03876132071863145
0.8975,0.061420345489443376,0.22386405413297086,0.012000372926778234,0.08494107642592871,0.03789961455295804,0.0603448275862069,0.2502607206528809,0.01341538277947467,0.08663897783397725,0.034050677338436544
0.9,0.05566218809980806,0.22141442494233066,0.011869059018728739,0.0789255437765164,0.03239883242309973,0.05459770114942529,0.2398525224005465,0.012857444788904443,0.079798292935678,0.029397109363172583
0.9025,0.05566218809980806,0.22141442494233066,0.011869059018728739,0.0789255437765164,0.03239883242309973,0.05172413793103448,0.23442224961801172,0.012566351613017241,0.07635418709254828,0.02709408876952069
0.905,0.05566218809980806,0.22141442494233066,0.011869059018728739,0.0789255437765164,0.03239883242309973,0.04885057471264368,0.22882698137677912,0.012266413752156976,0.07289274566687134,0.02480840375841601
0.9075,0.053742802303262956,0.2211279032636065,0.011853699844565592,0.07697605399861152,0.030509550607914396,0.040229885057471264,0.1967808770464455,0.010548562244893455,0.06090506705746243,0.019554703057480093
0.91,0.053742802303262956,0.2211279032636065,0.011853699844565592,0.07697605399861152,0.030509550607914396,0.040229885057471264,0.1967808770464455,0.010548562244893455,0.06090506705746243,0.019554703057480093
0.9125,0.044145873320537425,0.20513935690084822,0.010996623796098172,0.06569925596088984,0.02259249068018501,0.034482758620689655,0.1827283372523796,0.009795267041917207,0.05368148202284738,0.01528403521853193
0.915,0.04030710172744722,0.1972138887806091,0.010571774110289887,0.0610277789836154,0.019586424471279038,0.034482758620689655,0.1827283372523796,0.009795267041917207,0.05368148202284738,0.01528403521853193
0.9175,0.0345489443378119,0.18269806320860538,0.009793644182826678,0.05374448693615219,0.015353401739471612,0.034482758620689655,0.1827283372523796,0.009795267041917207,0.05368148202284738,0.01528403521853193
0.92,0.030710172744721688,0.17488397994504545,0.009374765352070238,0.04908471283477935,0.012335632654664024,0.034482758620689655,0.1827283372523796,0.009795267041917207,0.05368148202284738,0.01528403521853193
0.9225,0.02495201535508637,0.1567105238408927,0.008400565847540908,0.04141712441626655,0.008486906293906193,0.028735632183908046,0.16730310099567552,0.008968387584734864,0.04631367184998838,0.011157592517827712
